noise_level,noise_percent,replicate,seed,method,success,failure_reason,fitted_vmax,fitted_km,vmax_absolute_error,km_absolute_error,vmax_relative_error,km_relative_error,r2
0.0,0.0,42,2090,lineweaver_burk,True,,99.99999999999987,4.999999999999999,1.2789769243681803e-13,8.881784197001252e-16,1.2789769243681803e-15,1.7763568394002506e-16,1.0
0.0,0.0,43,2091,nonlinear,True,,99.99999999999933,4.999999999999844,6.679101716144942e-13,1.5631940186722204e-13,6.679101716144941e-15,3.126388037344441e-14,1.0
0.0,0.0,43,2091,lineweaver_burk,True,,99.99999999999987,4.999999999999999,1.2789769243681803e-13,8.881784197001252e-16,1.2789769243681803e-15,1.7763568394002506e-16,1.0
0.0,0.0,44,2092,nonlinear,True,,99.99999999999933,4.999999999999844,6.679101716144942e-13,1.5631940186722204e-13,6.679101716144941e-15,3.126388037344441e-14,1.0
0.0,0.0,44,2092,lineweaver_burk,True,,99.99999999999987,4.999999999999999,1.2789769243681803e-13,8.881784197001252e-16,1.2789769243681803e-15,1.7763568394002506e-16,1.0
0.0,0.0,45,2093,nonlinear,True,,99.99999999999933,4.999999999999844,6.679101716144942e-13,1.5631940186722204e-13,6.679101716144941e-15,3.126388037344441e-14,1.0
0.0,0.0,45,2093,lineweaver_burk,True,,99.99999999999987,4.999999999999999,1.2789769243681803e-13,8.881784197001252e-16,1.2789769243681803e-15,1.7763568394002506e-16,1.0
0.0,0.0,46,2094,nonlinear,True,,99.99999999999933,4.999999999999844,6.679101716144942e-13,1.5631940186722204e-13,6.679101716144941e-15,3.126388037344441e-14,1.0
0.0,0.0,46,2094,lineweaver_burk,True,,99.99999999999987,4.999999999999999,1.2789769243681803e-13,8.881784197001252e-16,1.2789769243681803e-15,1.7763568394002506e-16,1.0
0.0,0.0,47,2095,nonlinear,True,,99.99999999999933,4.999999999999844,6.679101716144942e-13,1.5631940186722204e-13,6.679101716144941e-15,3.126388037344441e-14,1.0
0.0,0.0,47,2095,lineweaver_burk,True,,99.99999999999987,4.999999999999999,1.2789769243681803e-13,8.881784197001252e-16,1.2789769243681803e-15,1.7763568394002506e-16,1.0
0.0,0.0,48,2096,nonlinear,True,,99.99999999999933,4.999999999999844,6.679101716144942e-13,1.5631940186722204e-13,6.679101716144941e-15,3.126388037344441e-14,1.0
0.0,0.0,48,2096,lineweaver_burk,True,,99.99999999999987,4.999999999999999,1.2789769243681803e-13,8.881784197001252e-16,1.2789769243681803e-15,1.7763568394002506e-16,1.0
0.0,0.0,49,2097,nonlinear,True,,99.99999999999933,4.999999999999844,6.679101716144942e-13,1.5631940186722204e-13,6.679101716144941e-15,3.126388037344441e-14,1.0
0.0,0.0,49,2097,lineweaver_burk,True,,99.99999999999987,4.999999999999999,1.2789769243681803e-13,8.881784197001252e-16,1.2789769243681803e-15,1.7763568394002506e-16,1.0
0.03,3.0,0,12048,nonlinear,True,,100.07637385880123,5.0498437100795925,0.07637385880123304,0.04984371007959254,0.0007637385880123304,0.009968742015918509,0.9974314927144241
0.03,3.0,0,12048,lineweaver_burk,True,,99.45374144056976,4.91879508457999,0.5462585594302425,0.08120491542000963,0.005462585594302425,0.016240983084001924,0.9973438961928697
0.03,3.0,1,12049,nonlinear,True,,98.99539403697305,4.972934602809248,1.0046059630269468,0.02706539719075174,0.010046059630269468,0.005413079438150348,0.9994253706289227
0.03,3.0,1,12049,lineweaver_burk,True,,97.66287686676891,4.820154581050989,2.3371231332310884,0.17984541894901085,0.023371231332310883,0.03596908378980217,0.9991702590709102
0.03,3.0,2,12050,nonlinear,True,,96.81594978376987,4.729161104718333,3.1840502162301334,0.27083889528166694,0.03184050216230133,0.05416777905633339,0.9966846029962053
0.03,3.0,2,12050,lineweaver_burk,True,,95.05953489819646,4.5778754804386095,4.9404651018035395,0.4221245195613905,0.04940465101803539,0.08442490391227811,0.9961117184481564
0.03,3.0,3,12051,nonlinear,True,,98.74411890912754,4.748451381156915,1.2558810908724638,0.2515486188430849,0.012558810908724637,0.050309723768616976,0.9978157446529159
